role,icd_code,icd_version_inferred,chapter,diagnosis,patients
secondary,,,,Atelectasis,9
secondary,,,,"Other specified surgical operations and procedures causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",9
secondary,,,,Abnormality in fetal heart rate and rhythm complicating labor and delivery,9
secondary,,,,Morbid obesity,9
secondary,,,,Intestinal infection due to Clostridium difficile,9
secondary,,,,Hyperosmolality and/or hypernatremia,9
secondary,,,,Peritoneal adhesions (postoperative) (postinfection),9
secondary,,,,Acute kidney failure with tubular necrosis,9
secondary,,,,Other ascites,9
secondary,,,,"Pressure ulcer, lower back",9
secondary,,,,Acute kidney failure with lesion of tubular necrosis,9
secondary,,,,"Chronic kidney disease, Stage IV (severe)",9
secondary,,,,Peritoneal abscess,9
secondary,,,,"Respiratory failure, unspecified with hypoxia",9
secondary,,,,Regional enteritis of unspecified site,9
secondary,,,,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus",9
secondary,,,,Other specified cardiac dysrhythmias,8
secondary,,,,Acquired coagulation factor deficiency,8
secondary,,,,Asymptomatic human immunodeficiency virus [HIV] infection status,8
secondary,,,,Cirrhosis of liver without mention of alcohol,8
secondary,,,,"Traumatic subdural hemorrhage without loss of consciousness, initial encounter",8
secondary,,,,Polyneuropathy in diabetes,8
secondary,,,,"Iron deficiency anemia, unspecified",8
secondary,,,,"Opioid dependence, uncomplicated",8
secondary,,,,Encounter for immunization,8
secondary,,,,"Chorioamnionitis, third trimester, not applicable or unspecified",8
secondary,,,,Second degree perineal laceration during delivery,8
secondary,,,,Old myocardial infarction,8
secondary,,,,Ostium secundum type atrial septal defect,8
secondary,,,,Other shock,8
secondary,,,,Paralytic ileus,8
secondary,,,,Other viral pneumonia,8
secondary,,,,Ventricular tachycardia,8
secondary,,,,"Constipation, unspecified",8
secondary,,,,Multiple sclerosis,8
secondary,,,,COVID-19,7
secondary,,,,Intracerebral hemorrhage,7
secondary,,,,Accidental fall on or from other stairs or steps,7
secondary,,,,"Cardiac complications, not elsewhere classified",7
secondary,,,,Nutritional marasmus,7
secondary,,,,"Migraine, unspecified, not intractable, without status migrainosus",7
secondary,,,,"Nicotine dependence, cigarettes, uncomplicated",7
secondary,,,,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,7
secondary,,,,Hydronephrosis,7
secondary,,,,Other disorders of neurohypophysis,7
secondary,,,,38 weeks gestation of pregnancy,7
secondary,,,,Other pulmonary embolism and infarction,7
secondary,,,,"Subendocardial infarction, initial episode of care",7
secondary,,,,"Alcohol abuse, unspecified",7
secondary,,,,"Retention of urine, unspecified",7
secondary,,,,Bariatric surgery status,7
secondary,,,,Acute on chronic systolic (congestive) heart failure,7
secondary,,,,Alcoholic cirrhosis of liver,7
secondary,,,,Other infections with a predominantly sexual mode of transmission complicating childbirth,7
secondary,,,,"Polyneuropathy, unspecified",7
secondary,,,,"Other current conditions classifiable elsewhere of mother, delivered, with or without mention of antepartum condition",7
secondary,,,,Other pancytopenia,7
secondary,,,,"Body mass index [BMI] 50.0-59.9, adult",7
secondary,,,,Mitral valve disorders,7
secondary,,,,Hypovolemia,7
secondary,,,,"Early onset of delivery, delivered, with or without mention of antepartum condition",7
secondary,,,,Unspecified atrial fibrillation,7
secondary,,,,"Jaundice, unspecified, not of newborn",7
secondary,,,,"Body mass index [BMI] 45.0-49.9, adult",7
secondary,,,,Ulcer of heel and midfoot,7
secondary,,,,Portal vein thrombosis,6
secondary,,,,"Pleural effusion, not elsewhere classified",6
secondary,,,,Cholangitis,6
secondary,,,,Unspecified septicemia,6
secondary,,,,"Other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",6
secondary,,,,Alcohol withdrawal,6
secondary,,,,Sepsis,6
secondary,,,,Contusion of lung without mention of open wound into thorax,6
secondary,,,,Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site,6
secondary,,,,Age-related osteoporosis without current pathological fracture,6
secondary,,,,"Ileus, unspecified",6
secondary,,,,"Chronic kidney disease, Stage III (moderate)",6
secondary,,,,"Spinal stenosis, cervical region",6
secondary,,,,Paralysis agitans,6
secondary,,,,Acute and chronic respiratory failure with hypoxia,6
secondary,,,,"Atrioventricular block, complete",6
secondary,,,,Systemic lupus erythematosus,6
secondary,,,,Aortocoronary bypass status,6
secondary,,,,Hemorrhage complicating a procedure,6
secondary,,,,Secondary malignant neoplasm of liver and intrahepatic bile duct,6
secondary,,,,"Chronic kidney disease, stage 4 (severe)",6
secondary,,,,First degree perineal laceration during delivery,6
secondary,,,,"Fatty (change of) liver, not elsewhere classified",6
secondary,,,,Atherosclerotic heart disease of native coronary artery with unstable angina pectoris,6
secondary,,,,Blood in stool,6
secondary,,,,37 weeks gestation of pregnancy,6
secondary,,,,"Crohn's disease, unspecified, without complications",6
secondary,,,,Pulmonary collapse,6
secondary,,,,Primary hypercoagulable state,6
secondary,,,,"Hemiplegia, unspecified affecting left nondominant side",6
secondary,,,,Labor and delivery complicated by meconium in amniotic fluid,6
secondary,,,,Organ-limited amyloidosis,6
secondary,,,,Ulcer of other part of foot,6
secondary,,,,Other chronic pulmonary heart diseases,6
secondary,,,,Type 2 diabetes mellitus with diabetic chronic kidney disease,6
secondary,,,,Other chest pain,5
secondary,,,,Multiple myeloma not having achieved remission,5
secondary,,,,Iron deficiency anemia secondary to blood loss (chronic),5
secondary,,,,Abscess of liver,5
secondary,,,,Other chronic nonalcoholic liver disease,5
secondary,,,,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",5
secondary,,,,Acute pulmonary edema,5
secondary,,,,"Labor and delivery complicated by cord around neck, without compression, not applicable or unspecified",5
secondary,,,,Unspecified viral infection,5
secondary,,,,Other and unspecified angina pectoris,5
secondary,,,,Secondary malignant neoplasm of other specified sites,5
secondary,,,,"Tachycardia, unspecified",5
secondary,,,,Secondary malignant neoplasm of brain and spinal cord,5
secondary,,,,Personal history of other malignant neoplasm of skin,5
secondary,,,,Closed fracture of pubis,5
secondary,,,,"Other and unspecified alcohol dependence, continuous",5
secondary,,,,Hepatorenal syndrome,5
secondary,,,,Personal history of tobacco use,5
secondary,,,,Other encephalopathy,5
secondary,,,,Rhabdomyolysis,5
secondary,,,,Unspecified atrial flutter,5
secondary,,,,Other amyloidosis,5
secondary,,,,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease,5
secondary,,,,Long-term (current) use of insulin,5
secondary,,,,Severe sepsis,5
secondary,,,,Syncope and collapse,5
secondary,,,,Chronic combined systolic and diastolic heart failure,5
secondary,,,,Type 2 diabetes mellitus with hyperglycemia,5
secondary,,,,Other disorders of phosphorus metabolism,5
secondary,,,,Acute and subacute necrosis of liver,5
secondary,,,,Other postoperative infection,5
secondary,,,,"Heart failure, unspecified",5
secondary,,,,Long-term (current) use of anticoagulants,5
secondary,,,,Accidents occurring in unspecified place,5
secondary,,,,Moderate protein-calorie malnutrition,5
secondary,,,,Acute pancreatitis,5
secondary,,,,"Body Mass Index less than 19, adult",5
secondary,,,,"Hemiplegia, unspecified affecting right dominant side",5
secondary,,,,Acute respiratory failure following trauma and surgery,5
secondary,,,,"Ulcerative colitis, unspecified",5
secondary,,,,Aortic valve disorders,5
secondary,,,,"Bipolar disorder, unspecified",5
secondary,,,,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled",5
secondary,,,,Dizziness and giddiness,5
secondary,,,,Other convulsions,5
secondary,,,,"Surgical operation with implant of artificial internal device causing abnormal patient reaction, or later complication,without mention of misadventure at time of operation",5
secondary,,,,Obstructive hydrocephalus,5
secondary,,,,Syndrome of inappropriate secretion of antidiuretic hormone,5
secondary,,,,"Chronic kidney disease, unspecified",5
secondary,,,,Irritable bowel syndrome,5
secondary,,,,Cachexia,5
secondary,,,,Portal hypertension,5
secondary,,,,Personal history of other venous thrombosis and embolism,5
secondary,,,,Cellulitis and abscess of trunk,5
secondary,,,,Morbid (severe) obesity due to excess calories,5
secondary,,,,"Other, mixed, or unspecified drug abuse, unspecified",4
secondary,,,,"Injury to bladder and urethra, without mention of open wound into cavity",4
secondary,,,,Congenital insufficiency of aortic valve,4
secondary,,,,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",4
secondary,,,,"Other dependence on machines, supplemental oxygen",4
secondary,,,,"Acute alcoholic intoxication in alcoholism, continuous",4
secondary,,,,Diseases of the nervous system complicating childbirth,4
secondary,,,,Traumatic pneumothorax without mention of open wound into thorax,4
secondary,,,,"Closed fracture of multiple ribs, unspecified",4
secondary,,,,Hypovolemic shock,4
secondary,,,,Supraventricular tachycardia,4
secondary,,,,"Chronic lymphoid leukemia, without mention of having achieved remission",4
secondary,,,,Personal history of pulmonary embolism,4
secondary,,,,Other viral diseases complicating childbirth,4
secondary,,,,Personal history of COVID-19,4
secondary,,,,Secondary malignant neoplasm of retroperitoneum and peritoneum,4
secondary,,,,"Infection of amniotic cavity, delivered, with or without mention of antepartum condition",4
secondary,,,,"Cellulitis and abscess of leg, except foot",4
secondary,,,,Long-term (current) use of aspirin,4
secondary,,,,"Insomnia, unspecified",4
secondary,,,,"Shock, unspecified",4
secondary,,,,Other specified noninflammatory disorders of uterus,4
secondary,,,,Secondary malignant neoplasm of bone,4
secondary,,,,Acute and subacute bacterial endocarditis,4
secondary,,,,Non-ST elevation (NSTEMI) myocardial infarction,4
secondary,,,,Other pulmonary embolism without acute cor pulmonale,4
secondary,,,,Other cholangitis,4
secondary,,,,Hypopotassemia,4
secondary,,,,"Cerebral artery occlusion, unspecified with cerebral infarction",4
secondary,,,,Hyperpotassemia,4
secondary,,,,"Epilepsy, unspecified, not intractable, without status epilepticus",4
secondary,,,,"Mental disorders of mother, delivered, with or without mention of antepartum condition",4
secondary,,,,"Leukocytosis, unspecified",4
secondary,,,,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia",4
secondary,,,,Chronic total occlusion of coronary artery,4
secondary,,,,Other digestive system complications,4
secondary,,,,Chronic pancreatitis,4
secondary,,,,Closed fracture of lumbar vertebra without mention of spinal cord injury,4
secondary,,,,Contact with and (suspected) exposure to other viral communicable diseases,4
secondary,,,,Permanent atrial fibrillation,4
secondary,,,,Carrier or suspected carrier of group B streptococcus,4
secondary,,,,Dysthymic disorder,4
secondary,,,,Cervical spondylosis with myelopathy,4
secondary,,,,Alkalosis,4
secondary,,,,"Body Mass Index 40.0-44.9, adult",4
secondary,,,,Pancytopenia,4
secondary,,,,Rheumatoid arthritis,4
secondary,,,,"Other complications due to other cardiac device, implant, and graft",4
secondary,,,,Myasthenia gravis without (acute) exacerbation,4
secondary,,,,Other accidental fall from one level to another,4
secondary,,,,Long term (current) use of anticoagulants,4
secondary,,,,"Unspecified dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",4
secondary,,,,"Body Mass Index 40 and over, adult",4
secondary,,,,Unspecified bacterial pneumonia,4
secondary,,,,Other alteration of consciousness,4
secondary,,,,Lumbosacral spondylosis without myelopathy,4
secondary,,,,"Open wound of forehead, without mention of complication",4
secondary,,,,"Other acute and subacute forms of ischemic heart disease, other",4
secondary,,,,Pulmonary insufficiency following trauma and surgery,4
secondary,,,,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled",4
secondary,,,,Spontaneous bacterial peritonitis,4
secondary,,,,Diverticulosis of colon (without mention of hemorrhage),4
secondary,,,,Headache,4
secondary,,,,Post-term pregnancy,4
secondary,,,,Ventricular fibrillation,4
secondary,,,,Nonalcoholic steatohepatitis (NASH),4
secondary,,,,Paroxysmal atrial fibrillation,4
secondary,,,,Other postprocedural status,4
secondary,,,,Chronic atrial fibrillation,3
secondary,,,,Cardiac arrest,3
secondary,,,,Escherichia coli [E. coli] infection in conditions classified elsewhere and of unspecified site,3
secondary,,,,Malignant neoplasm of other parts of bronchus or lung,3
secondary,,,,"Leiomyoma of uterus, unspecified",3
secondary,,,,"Thyroid dysfunction of mother, delivered, with or without mention of antepartum condition",3
secondary,,,,Long term (current) use of insulin,3
secondary,,,,Candidal stomatitis,3
secondary,,,,Unspecified vitamin D deficiency,3
secondary,,,,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere,3
secondary,,,,Secondary malignant neoplasm of genital organs,3
secondary,,,,Closed fracture of orbital floor (blow-out),3
secondary,,,,"Cocaine dependence, continuous",3
secondary,,,,Closed fracture of acetabulum,3
secondary,,,,"Abnormal glucose tolerance of mother, delivered, with or without mention of antepartum condition",3
secondary,,,,Other mental disorders complicating childbirth,3
secondary,,,,Accidental fall on or from sidewalk curb,3
secondary,,,,"Cannabis abuse, unspecified",3
secondary,,,,Anomalies of pancreas,3
secondary,,,,"Hypogammaglobulinemia, unspecified",3
secondary,,,,Liver transplant status,3
secondary,,,,"Other and unspecified cord entanglement, without mention of compression, complicating labor and delivery, delivered, with or without mention of antepartum condition",3
secondary,,,,"Abnormality in fetal heart rate or rhythm, delivered, with or without mention of antepartum condition",3
secondary,,,,Acute and chronic respiratory failure with hypercapnia,3
secondary,,,,Closed fracture of one rib,3
secondary,,,,Cardiac tamponade,3
secondary,,,,"Major depressive affective disorder, single episode, unspecified",3
secondary,,,,Diseases of the respiratory system complicating childbirth,3
secondary,,,,"Hyperparathyroidism, unspecified",3
secondary,,,,Dependence on supplemental oxygen,3
secondary,,,,Cervicalgia,3
secondary,,,,Personal history of non-Hodgkin lymphomas,3
secondary,,,,Unarmed fight or brawl,3
secondary,,,,"Respiratory failure, unspecified with hypercapnia",3
secondary,,,,"Malignant neoplasm of upper lobe, bronchus or lung",3
secondary,,,,Unspecified viral hepatitis C without hepatic coma,3
secondary,,,,"Endocrine, nutritional and metabolic diseases complicating childbirth",3
secondary,,,,Lack of housing,3
secondary,,,,Diaphragmatic hernia without obstruction or gangrene,3
secondary,,,,Need for prophylactic vaccination and inoculation against influenza,3
secondary,,,,"Other specified complications of pregnancy, delivered, with or without mention of antepartum condition",3
secondary,,,,Traumatic pneumohemothorax without mention of open wound into thorax,3
secondary,,,,Subarachnoid hemorrhage,3
secondary,,,,"Unspecified osteomyelitis, ankle and foot",3
secondary,,,,Unspecified intestinal obstruction,3
secondary,,,,Personal history of suicidal behavior,3
secondary,,,,Laparoscopic surgical procedure converted to open procedure,3
secondary,,,,"Infection and inflammatory reaction due to other internal orthopedic device, implant, and graft",3
secondary,,,,Other secondary thrombocytopenia,3
secondary,,,,"Urinary complications, not elsewhere classified",3
secondary,,,,"Personal history of noncompliance with medical treatment, presenting hazards to health",3
secondary,,,,Eosinophilia,3
secondary,,,,Unspecified pre-existing hypertension complicating childbirth,3
secondary,,,,Stem cells transplant status,3
secondary,,,,"Calculus of gallbladder without mention of cholecystitis, without mention of obstruction",3
secondary,,,,Calculus of kidney,3
secondary,,,,"Chronic kidney disease, stage 3 (moderate)",3
secondary,,,,Personal history of malignant melanoma of skin,3
secondary,,,,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),3
secondary,,,,Late effect of fracture of upper extremities,3
secondary,,,,Accidental puncture or laceration of dura during a procedure,3
secondary,,,,"Calculus of gallbladder with other cholecystitis, without mention of obstruction",3
secondary,,,,Coronary artery dissection,3
secondary,,,,"Unspecified gastritis and gastroduodenitis, without mention of hemorrhage",3
secondary,,,,Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta,3
secondary,,,,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site,3
secondary,,,,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled",3
secondary,,,,Peritoneal adhesions (postprocedural) (postinfection),3
secondary,,,,Unspecified diastolic (congestive) heart failure,3
secondary,,,,"Dementia, unspecified, without behavioral disturbance",3
secondary,,,,Acute systolic heart failure,3
secondary,,,,Cerebral atherosclerosis,3
secondary,,,,Acute diastolic heart failure,3
secondary,,,,"Arthropathy, unspecified, site unspecified",3
secondary,,,,Obesity complicating childbirth,3
secondary,,,,"Disorder of bone and cartilage, unspecified",3
secondary,,,,Acute venous embolism and thrombosis of deep vessels of proximal lower extremity,3
secondary,,,,Subdural hemorrhage,3
secondary,,,,Kidney transplant status,3
secondary,,,,Obesity hypoventilation syndrome,3
secondary,,,,"Body Mass Index 50.0-59.9, adult",3
secondary,,,,Paraplegia,3
secondary,,,,"Rupture of chordae tendineae, not elsewhere classified",3
secondary,,,,"Other immediate postpartum hemorrhage, delivered, with mention of postpartum complication",3
secondary,,,,"Anemia of mother, delivered, with mention of postpartum complication",3
secondary,,,,Other chronic pain,3
secondary,,,,Abscess of intestine,3
secondary,,,,"Opioid type dependence, continuous",3
secondary,,,,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition",3
secondary,,,,Other forms of acute ischemic heart disease,3
secondary,,,,Unspecified glaucoma,3
secondary,,,,Personal history of malignant neoplasm of large intestine,3
secondary,,,,"Pure hypercholesterolemia, unspecified",3
secondary,,,,"Chronic obstructive asthma, unspecified",3
secondary,,,,"Unspecified osteoarthritis, unspecified site",3
secondary,,,,Generalized anxiety disorder,3
secondary,,,,Peripheral autonomic neuropathy in disorders classified elsewhere,3
secondary,,,,Home accidents,3
secondary,,,,"Other diseases of lung, not elsewhere classified",3
secondary,,,,Hemoptysis,3
secondary,,,,Personal history of malignant neoplasm of kidney,3
secondary,,,,"Open wound of scalp, without mention of complication",3
secondary,,,,Immune thrombocytopenic purpura,3
secondary,,,,Other specified intestinal obstruction,3
secondary,,,,Facial weakness,3
secondary,,,,Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side,3
secondary,,,,Precipitous drop in hematocrit,3
secondary,,,,"Hemiplegia, unspecified, affecting unspecified side",3
secondary,,,,"Fever, unspecified",3
secondary,,,,"Other postprocedural complications and disorders of the circulatory system, not elsewhere classified",3
secondary,,,,Kidney replaced by transplant,3
secondary,,,,Tobacco use,3
secondary,,,,"Cord around neck, with compression, complicating labor and delivery, delivered, with or without mention of antepartum condition",3
secondary,,,,"Other postprocedural shock, initial encounter",3
secondary,,,,Barrett's esophagus,3
secondary,,,,Unspecified place in unspecified non-institutional (private) residence as the place of occurrence of the external cause,3
secondary,,,,Pneumonia due to coronavirus disease 2019,3
secondary,,,,"Osteoporosis, unspecified",3
secondary,,,,Gangrene,3
secondary,,,,"Other complications due to other vascular device, implant, and graft",3
secondary,,,,Personal history of other malignant neoplasm of kidney,3
secondary,,,,Anorexia,3
secondary,,,,"Hemiplegia, unspecified, affecting dominant side",3
secondary,,,,"Ulcerative colitis, unspecified, without complications",3
secondary,,,,"Peripheral vascular disease, unspecified",3
secondary,,,,Motor vehicle traffic accident involving collision with pedestrian injuring pedestrian,3
secondary,,,,Oliguria and anuria,3
secondary,,,,Umbilical hernia without mention of obstruction or gangrene,3
secondary,,,,"Pulmonary hypertension, unspecified",3
secondary,,,,Acquired absence of breast and nipple,3
secondary,,,,Other specified diseases of pancreas,3
secondary,,,,"Premature rupture of membranes, delivered, with or without mention of antepartum condition",3
secondary,,,,"Esophageal varices in diseases classified elsewhere, without mention of bleeding",3
secondary,,,,Family history of ischemic heart disease,3
secondary,,,,Borderline personality disorder,3
secondary,,,,Acute vascular insufficiency of intestine,3
secondary,,,,"Cardiomyopathy, unspecified",3
secondary,,,,"Malignant neoplasm of brain, unspecified",3
secondary,,,,"Gestational diabetes mellitus in childbirth, insulin controlled",3
secondary,,,,"Malignant neoplasm of breast (female), unspecified",3
secondary,,,,"Post-traumatic stress disorder, unspecified",3
secondary,,,,"Vitamin D deficiency, unspecified",3
secondary,,,,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, without mention of intractable epilepsy",3
secondary,,,,Personal history of malignant neoplasm of prostate,3
secondary,,,,Polymyalgia rheumatica,2
secondary,,,,"Opioid abuse, unspecified",2
secondary,,,,"Cocaine abuse, unspecified",2
secondary,,,,Anesthesia of skin,2
secondary,,,,"Premature separation of placenta, unspecified, third trimester",2
secondary,,,,Other specified coagulation defects,2
secondary,,,,Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris,2
secondary,,,,Ischemic cardiomyopathy,2
secondary,,,,"Abrasion or friction burn of face, neck, and scalp except eye, without mention of infection",2
secondary,,,,"Chronic atrial fibrillation, unspecified",2
secondary,,,,Postsurgical hypothyroidism,2
secondary,,,,Secondary malignant neoplasm of brain,2
secondary,,,,Chronic hepatitis C with hepatic coma,2
secondary,,,,"Body mass index [BMI] 60.0-69.9, adult",2
secondary,,,,Myelopathy in other diseases classified elsewhere,2
secondary,,,,Closed fracture of two ribs,2
secondary,,,,Acute pyelonephritis,2
secondary,,,,Nontoxic multinodular goiter,2
secondary,,,,Anuria and oliguria,2
secondary,,,,"Fetopelvic disproportion, delivered, with or without mention of antepartum condition",2
secondary,,,,Acute cholecystitis,2
secondary,,,,Accidents occurring in other specified places,2
secondary,,,,Unspecified analgesic and antipyretic causing adverse effects in therapeutic use,2
secondary,,,,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes,2
secondary,,,,"Enterocolitis due to Clostridium difficile, not specified as recurrent",2
secondary,,,,Parastomal hernia without obstruction or gangrene,2
secondary,,,,"Osteophyte, vertebrae",2
secondary,,,,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled",2
secondary,,,,Celiac disease,2
secondary,,,,Pulmonary congestion and hypostasis,2
secondary,,,,"Other pulmonary insufficiency, not elsewhere classified, following trauma and surgery",2
secondary,,,,Hypocalcemia,2
secondary,,,,Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure,2
secondary,,,,Sixth or abducens nerve palsy,2
secondary,,,,Other postprocedural cardiac functional disturbances following cardiac surgery,2
secondary,,,,"Gout, unspecified",2
secondary,,,,"Alcohol dependence with withdrawal, unspecified",2
secondary,,,,Acquired hypertrophic pyloric stenosis,2
secondary,,,,Pericardial effusion (noninflammatory),2
secondary,,,,"Cervical disc disorder with myelopathy, high cervical region",2
secondary,,,,"Other and unspecified alcohol dependence, episodic",2
secondary,,,,Chronic vascular insufficiency of intestine,2
secondary,,,,"Attention-deficit hyperactivity disorder, unspecified type",2
secondary,,,,Personal history of self-harm,2
secondary,,,,41 weeks gestation of pregnancy,2
secondary,,,,Cellulitis of left lower limb,2
secondary,,,,"Maternal care for cervical incompetence, third trimester",2
secondary,,,,Unspecified psychosis,2
secondary,,,,Chronic obstructive pulmonary disease with (acute) exacerbation,2
secondary,,,,Type 2 diabetes mellitus with diabetic polyneuropathy,2
secondary,,,,Chronic viral hepatitis B without delta-agent,2
secondary,,,,"Bloodstream infection due to central venous catheter, initial encounter",2
secondary,,,,"Pyelonephritis, unspecified",2
secondary,,,,"Unilateral paralysis of vocal cords or larynx, partial",2
secondary,,,,Unspecified place or not applicable,2
secondary,,,,Closed fracture of nasal bones,2
secondary,,,,"Dysphagia, unspecified",2
secondary,,,,"Other spondylosis with myelopathy, cervical region",2
secondary,,,,"Peripheral vascular complications, not elsewhere classified",2
secondary,,,,Benign prostatic hyperplasia without lower urinary tract symptoms,2
secondary,,,,Family history of malignant neoplasm of digestive organs,2
secondary,,,,Postprocedural hypothyroidism,2
secondary,,,,Primary pulmonary hypertension,2
secondary,,,,Swelling of limb,2
secondary,,,,Maternal care for unspecified type scar from previous cesarean delivery,2
secondary,,,,"Other fall on same level, initial encounter",2
secondary,,,,Malignant neoplasm of prostate,2
secondary,,,,"Backache, unspecified",2
secondary,,,,"Scoliosis [and kyphoscoliosis], idiopathic",2
secondary,,,,Other specified complications of labor and delivery,2
secondary,,,,Late effects of motor vehicle accident,2
secondary,,,,Alcoholic hepatitis without ascites,2
secondary,,,,Non-pressure chronic ulcer of left heel and midfoot with unspecified severity,2
secondary,,,,Helicobacter pylori [H. pylori],2
secondary,,,,"Transient hypertension of pregnancy, delivered , with or without mention of antepartum condition",2
secondary,,,,Other specified places as the place of occurrence of the external cause,2
secondary,,,,"Spinal stenosis, lumbar region, without neurogenic claudication",2
secondary,,,,"Intervertebral disc disorders with radiculopathy, lumbar region",2
secondary,,,,"Stress incontinence, female",2
secondary,,,,Ulcer of other part of lower limb,2
secondary,,,,Dementia in conditions classified elsewhere without behavioral disturbance,2
secondary,,,,Mixed acid-base balance disorder,2
secondary,,,,Chronic and other pulmonary manifestations due to radiation,2
secondary,,,,Obstructive hypertrophic cardiomyopathy,2
secondary,,,,"Labor and delivery complicated by other cord complications, not applicable or unspecified",2
secondary,,,,Essential and other specified forms of tremor,2
secondary,,,,"Acute (reversible) ischemia of intestine, part and extent unspecified",2
secondary,,,,Diabetes insipidus,2
secondary,,,,Ulcer of ankle,2
secondary,,,,"Acute osteomyelitis, lower leg",2
secondary,,,,Non-healing surgical wound,2
secondary,,,,Other specified disorders of kidney and ureter,2
secondary,,,,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,2
secondary,,,,Sickle-cell trait,2
secondary,,,,"Cardiac catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",2
secondary,,,,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, without status epilepticus",2
secondary,,,,Other fall,2
secondary,,,,Antineoplastic chemotherapy induced pancytopenia,2
secondary,,,,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus",2
secondary,,,,Dementia with lewy bodies,2
secondary,,,,Occlusion and stenosis of multiple and bilateral precerebral arteries without mention of cerebral infarction,2
secondary,,,,"Oligohydramnios, delivered, with or without mention of antepartum condition",2
secondary,,,,"Breech presentation without mention of version, delivered, with or without mention of antepartum condition",2
secondary,,,,Other specified diseases of gallbladder,2
secondary,,,,Chronic viral hepatitis C,2
secondary,,,,Neoplasm related pain (acute) (chronic),2
secondary,,,,Subacute cutaneous lupus erythematosus,2
secondary,,,,Glomerular disease in systemic lupus erythematosus,2
secondary,,,,"Other forms of epilepsy and recurrent seizures, without mention of intractable epilepsy",2
secondary,,,,Anomalies of cerebrovascular system,2
secondary,,,,Acute systolic (congestive) heart failure,2
secondary,,,,"Malignant neoplasm of upper lobe, right bronchus or lung",2
secondary,,,,Primary sclerosing cholangitis,2
secondary,,,,Mucositis (ulcerative) due to antineoplastic therapy,2
secondary,,,,Type 2 diabetes mellitus with hypoglycemia without coma,2
secondary,,,,Von Willebrand disease,2
secondary,,,,Other chronic pancreatitis,2
secondary,,,,Long term (current) use of antithrombotics/antiplatelets,2
secondary,,,,Enlargement of lymph nodes,2
secondary,,,,Attention deficit disorder without mention of hyperactivity,2
secondary,,,,Polymyositis,2
secondary,,,,"Traumatic subarachnoid hemorrhage with loss of consciousness of unspecified duration, initial encounter",2
secondary,,,,Malignant pleural effusion,2
secondary,,,,"Pressure ulcer, buttock",2
secondary,,,,"Obesity complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition",2
secondary,,,,Other optic neuritis,2
secondary,,,,"Disruption of internal operation (surgical) wound, not elsewhere classified, initial encounter",2
secondary,,,,Candidiasis of other urogenital sites,2
secondary,,,,"Diabetes with renal manifestations, type II or unspecified type, uncontrolled",2
secondary,,,,"Diabetes with ophthalmic manifestations, type II or unspecified type, uncontrolled",2
secondary,,,,Compression of vein,2
secondary,,,,Sterilization,2
secondary,,,,Atrial septal defect,2
secondary,,,,Personal history of peptic ulcer disease,2
secondary,,,,Unspecified visual disturbance,2
secondary,,,,Encounter for examination for normal comparison and control in clinical research program,2
secondary,,,,Late effect of intracranial injury without mention of skull fracture,2
secondary,,,,"Chronic osteomyelitis, ankle and foot",2
secondary,,,,"Pressure ulcer of sacral region, stage 4",2
secondary,,,,Other acute kidney failure,2
secondary,,,,"Malignant neoplasm of lower lobe, bronchus or lung",2
secondary,,,,Other ill-defined cerebrovascular disease,2
secondary,,,,Homelessness,2
secondary,,,,"Acute edema of lung, unspecified",2
